name	type	x	y	z
S1	source	-70.49348427805542	17.04639745246434	28.1004683462547
S2	source	-69.05229699779403	13.78489487633427	43.64503270984522
S3	source	-64.68668139734687	10.59677073643156	58.088669777068
S4	source	-59.23743473306831	8.474855000257659	70.80892288946505
S5	source	-74.5800226470557	2.020182108919329	25.65994689633236
S6	source	-73.50970328461112	-1.037897549842962	41.05092527218845
S7	source	-70.00642003144171	-4.293444476416552	56.11124987979315
S8	source	-63.72648474889499	-8.00683747238182	70.37050077393198
S9	source	-75.61743426541098	-13.43134413937234	23.05787567313367
S10	source	-74.98409718541325	-16.4616660417486	38.20612879085861
S11	source	-72.76016858521037	-19.63304878178479	53.49295428934627
S12	source	-67.36491718619165	-23.50778661506022	68.70944138041931
S13	source	-77.73409905312229	-28.9232001472503	20.23311797585803
S14	source	-75.58893022593224	-31.78727991097197	35.47074405260657
S15	source	-73.55317325902135	-34.87466736929311	50.85936823484319
S16	source	-69.49941070642254	-37.95810247582408	65.95404550552965
S17	source	-75.77561239457111	-43.92869627723812	17.02801760978963
S18	source	-74.79230393295006	-47.31979816227807	32.24673737742335
S19	source	-72.45627056394582	-50.220673482385	47.72753855173261
S20	source	-68.08318878573024	-52.90939896253792	63.33201056345537
S21	source	-71.71172632032068	-58.61809726843316	13.562584771068
S22	source	-71.30005414334994	-62.00060951133963	28.86257091362421
S23	source	-69.25420800992907	-65.12408416350701	44.10315123990063
S24	source	-65.25874973430938	-67.77273125563896	60.02945052945644
S25	source	-68.84516814508106	-73.40051066055769	10.01864040902701
S26	source	-67.04242279432324	-76.50269424946671	25.47305271901844
S27	source	-64.05262114777351	-79.56524130974921	40.54694945839334
S28	source	-59.95078655815401	-81.73323290332743	56.37365027707583
S29	source	-61.98098822099657	-82.26991636617821	-8.875648374178668
S30	source	-61.50374990434607	-86.75817462275278	6.356287123058043
S31	source	-60.08908264020876	-89.9964016594415	21.86290370043897
S32	source	-57.66560285489721	-92.82269648172273	37.11740856487316
S33	source	-50.7592304970375	-92.20220013383037	-12.14636485133766
S34	source	-51.33342570626866	-97.68707523382716	2.790855656495389
S35	source	-49.95805726537061	-100.9484778136857	18.08143761559286
S36	source	-46.91084908944821	-103.3894183071498	34.24913049371481
S37	source	-39.7644506942859	-102.1806769395917	-15.43330837168912
S38	source	-39.56105828531856	-107.4097622725688	-0.7240858839714113
S39	source	-38.34789150756524	-110.3948687308842	14.73902411242218
S40	source	-35.7484167920776	-111.9536844880164	30.05071217740906
S41	source	-26.25941951856291	-109.7003447416346	-18.0597072872702
S42	source	-26.0425354624948	-114.3138723744584	-3.458205325639943
S43	source	-25.38835227861095	-118.2596215370866	11.70379358023776
S44	source	-23.07479448275543	-117.9801796655765	27.85560463070007
S45	source	-11.12809130585438	-112.4448485274397	-19.57029123316768
