name	type	x	y	z
S1	source	-66.38525053956374	20.56777704132013	14.19601347901624
S2	source	-68.5788007774193	19.59008605405263	29.96180371896975
S3	source	-68.19258710562779	18.16658116711646	45.44955270563631
S4	source	-64.23287320968765	17.17316707685522	58.4847021479988
S5	source	-71.38523964684636	5.848290977935534	12.87351616730312
S6	source	-73.03182236315773	4.839282133954082	28.54451361212226
S7	source	-73.49510455395945	3.402571316076489	44.25237730735396
S8	source	-69.27868180206062	0.8242190331793936	59.21923502904834
S9	source	-75.49046515806133	-9.333573565764935	11.35401594952631
S10	source	-75.70744345948758	-10.54875100070875	27.21716411223496
S11	source	-76.59386313877552	-12.11350381105086	43.01577606340821
S12	source	-74.00876671159824	-14.63486025286329	58.89693350898445
S13	source	-78.8817440148501	-23.3514139676256	10.61271348602511
S14	source	-79.9401604130085	-25.56335077431415	25.93093264641676
S15	source	-78.54964550512442	-27.5833834124044	41.5609417652569
S16	source	-77.48719388213316	-29.55641471639163	56.70588641837584
S17	source	-78.88174401485007	-38.20513634040138	8.201808977825813
S18	source	-79.10239380501963	-41.11291130595575	23.87102640364835
S19	source	-78.38244299726919	-43.07752006120766	39.50090704973736
S20	source	-76.2504848609474	-44.85108324680333	55.37105356418297
S21	source	-72.95778953203801	-52.27178692264081	6.239885625996799
S22	source	-75.03918960704965	-55.8556409351263	21.57324704362468
S23	source	-74.95441828702356	-58.32557799331631	37.05892947442199
S24	source	-73.86445998798234	-60.32252582664388	53.01873123685704
S25	source	-67.5015251345377	-66.63718535356762	4.118558908784561
S26	source	-69.27949334542473	-70.2014253335863	19.38791488897454
S27	source	-69.3120760503603	-72.97783469161374	34.87705042712818
S28	source	-67.02607733083168	-74.11916577057082	50.86377857630892
S29	source	-58.68493831961895	-75.21909157809961	-13.15007838152133
S30	source	-60.76994671597791	-80.23605219139277	1.772581043366286
S31	source	-61.50039362900301	-83.83774554915834	17.11703072606917
S32	source	-60.71775470622541	-86.01356836502475	32.64356543803272
S33	source	-48.05130471278265	-85.37301556337054	-15.14935634455859
S34	source	-49.74610200382308	-90.91425163619563	-0.3959880740002543
S35	source	-50.76823589830817	-95.30935206694251	14.78685175986662
S36	source	-49.82386870637573	-97.19170191886369	31.07207568351252
S37	source	-35.92307792242723	-94.02727716783073	-17.10328776818736
S38	source	-37.43164173461869	-100.2525950786366	-2.751548691324022
S39	source	-38.33576098731981	-104.5806319311363	12.49067604566326
S40	source	-37.10912845411548	-106.6352465620742	27.8284393847587
S41	source	-22.6418831691018	-101.0935907767093	-18.8653831284208
S42	source	-23.85151641799164	-107.4671922553565	-4.800211074160525
S43	source	-24.15033076854891	-111.4243740760072	10.603278440351
S44	source	-23.21070163905003	-112.1371251808089	26.23125127943586
S45	source	-7.934459892508741	-104.3575098695654	-19.82079433486683
S46	source	-8.465793825145198	-110.8986212737676	-5.76583601337378
S47	source	-8.678569646665343	-114.5971089359881	9.646924968674329
S48	source	-8.551564870091834	-115.5634920814853	25.26904168508094
S49	source	7.358970750734004	-104.39563909843	-19.45951948064764
S50	source	7.414336806290611	-111.1994484497109	-5.367611212323634
S51	source	7.020477571872268	-114.5700458620805	10.02001274053123
S52	source	6.342753073274536	-114.6250927452715	25.67354451907946
S53	source	21.90403181728808	-100.77205962845	-18.08355978647651
S54	source	22.61837824846214	-107.5372665437703	-3.768031270169141
S55	source	22.33613755903114	-111.1151344128933	11.36801004602277
S56	source	20.66934279971373	-112.257772515332	27.30199778083826
S57	source	35.29466906797294	-93.91376458665803	-15.57880329328821
S58	source	36.27866240044438	-100.185476508507	-1.094503141633145
S59	source	36.39451669211246	-104.3865380896895	14.11513198475684
S60	source	34.82085462552885	-106.5217099648376	29.56969531920108
S61	source	48.25015125895067	-86.28261016516473	-13.21622246036322
S62	source	49.05255292324824	-91.82530380598622	1.688934092836023
S63	source	49.22388182954783	-95.70033858996908	17.22249347138703
S64	source	47.43315297866988	-97.70671350005402	32.82034225933284
S65	source	58.69876910764089	-76.71986058060324	-10.28823357079243
S66	source	60.15410864604522	-81.15673420465086	4.654571503174975
S67	source	60.47661260359042	-84.88185645897086	20.1591756478705
S68	source	59.13450603087674	-87.11779835000557	35.96794387309968
S69	source	68.42580754757455	-68.30425745054922	7.386381882979737
S70	source	68.5225397769083	-71.41270929553077	22.95293561215317
S71	source	68.4670572408194	-74.26210719454032	38.16225798003106
S72	source	66.59255006407891	-75.36065028144431	53.62597561442441
S73	source	74.44311048213845	-54.07857373044623	10.08122313806325
S74	source	75.08297708806687	-57.44991639366712	25.43596257544906
