name	type	source	detector	wavelength_nominal	units	sampling_frequency
S9-D6	NIRSCWAMPLITUDE	9	6	685	n/a	10.41666666666667
S10-D6	NIRSCWAMPLITUDE	10	6	685	n/a	10.41666666666667
S11-D6	NIRSCWAMPLITUDE	11	6	685	n/a	10.41666666666667
S12-D6	NIRSCWAMPLITUDE	12	6	685	n/a	10.41666666666667
S13-D6	NIRSCWAMPLITUDE	13	6	685	n/a	10.41666666666667
S14-D6	NIRSCWAMPLITUDE	14	6	685	n/a	10.41666666666667
S15-D6	NIRSCWAMPLITUDE	15	6	685	n/a	10.41666666666667
S16-D6	NIRSCWAMPLITUDE	16	6	685	n/a	10.41666666666667
S17-D6	NIRSCWAMPLITUDE	17	6	685	n/a	10.41666666666667
S18-D6	NIRSCWAMPLITUDE	18	6	685	n/a	10.41666666666667
S19-D6	NIRSCWAMPLITUDE	19	6	685	n/a	10.41666666666667
S20-D6	NIRSCWAMPLITUDE	20	6	685	n/a	10.41666666666667
S21-D6	NIRSCWAMPLITUDE	21	6	685	n/a	10.41666666666667
S22-D6	NIRSCWAMPLITUDE	22	6	685	n/a	10.41666666666667
S23-D6	NIRSCWAMPLITUDE	23	6	685	n/a	10.41666666666667
S1-D7	NIRSCWAMPLITUDE	1	7	685	n/a	10.41666666666667
S2-D7	NIRSCWAMPLITUDE	2	7	685	n/a	10.41666666666667
S3-D7	NIRSCWAMPLITUDE	3	7	685	n/a	10.41666666666667
S4-D7	NIRSCWAMPLITUDE	4	7	685	n/a	10.41666666666667
S5-D7	NIRSCWAMPLITUDE	5	7	685	n/a	10.41666666666667
S6-D7	NIRSCWAMPLITUDE	6	7	685	n/a	10.41666666666667
S7-D7	NIRSCWAMPLITUDE	7	7	685	n/a	10.41666666666667
S8-D7	NIRSCWAMPLITUDE	8	7	685	n/a	10.41666666666667
S9-D7	NIRSCWAMPLITUDE	9	7	685	n/a	10.41666666666667
S10-D7	NIRSCWAMPLITUDE	10	7	685	n/a	10.41666666666667
S11-D7	NIRSCWAMPLITUDE	11	7	685	n/a	10.41666666666667
S12-D7	NIRSCWAMPLITUDE	12	7	685	n/a	10.41666666666667
S13-D7	NIRSCWAMPLITUDE	13	7	685	n/a	10.41666666666667
S14-D7	NIRSCWAMPLITUDE	14	7	685	n/a	10.41666666666667
S15-D7	NIRSCWAMPLITUDE	15	7	685	n/a	10.41666666666667
S16-D7	NIRSCWAMPLITUDE	16	7	685	n/a	10.41666666666667
S17-D7	NIRSCWAMPLITUDE	17	7	685	n/a	10.41666666666667
S18-D7	NIRSCWAMPLITUDE	18	7	685	n/a	10.41666666666667
S19-D7	NIRSCWAMPLITUDE	19	7	685	n/a	10.41666666666667
S20-D7	NIRSCWAMPLITUDE	20	7	685	n/a	10.41666666666667
S21-D7	NIRSCWAMPLITUDE	21	7	685	n/a	10.41666666666667
S22-D7	NIRSCWAMPLITUDE	22	7	685	n/a	10.41666666666667
S23-D7	NIRSCWAMPLITUDE	23	7	685	n/a	10.41666666666667
S24-D7	NIRSCWAMPLITUDE	24	7	685	n/a	10.41666666666667
S1-D8	NIRSCWAMPLITUDE	1	8	685	n/a	10.41666666666667
S2-D8	NIRSCWAMPLITUDE	2	8	685	n/a	10.41666666666667
S3-D8	NIRSCWAMPLITUDE	3	8	685	n/a	10.41666666666667
S4-D8	NIRSCWAMPLITUDE	4	8	685	n/a	10.41666666666667
S5-D8	NIRSCWAMPLITUDE	5	8	685	n/a	10.41666666666667
S6-D8	NIRSCWAMPLITUDE	6	8	685	n/a	10.41666666666667
S7-D8	NIRSCWAMPLITUDE	7	8	685	n/a	10.41666666666667
S8-D8	NIRSCWAMPLITUDE	8	8	685	n/a	10.41666666666667
S9-D8	NIRSCWAMPLITUDE	9	8	685	n/a	10.41666666666667
S10-D8	NIRSCWAMPLITUDE	10	8	685	n/a	10.41666666666667
S11-D8	NIRSCWAMPLITUDE	11	8	685	n/a	10.41666666666667
S12-D8	NIRSCWAMPLITUDE	12	8	685	n/a	10.41666666666667
S13-D8	NIRSCWAMPLITUDE	13	8	685	n/a	10.41666666666667
S14-D8	NIRSCWAMPLITUDE	14	8	685	n/a	10.41666666666667
S15-D8	NIRSCWAMPLITUDE	15	8	685	n/a	10.41666666666667
S16-D8	NIRSCWAMPLITUDE	16	8	685	n/a	10.41666666666667
S17-D8	NIRSCWAMPLITUDE	17	8	685	n/a	10.41666666666667
S18-D8	NIRSCWAMPLITUDE	18	8	685	n/a	10.41666666666667
S19-D8	NIRSCWAMPLITUDE	19	8	685	n/a	10.41666666666667
S20-D8	NIRSCWAMPLITUDE	20	8	685	n/a	10.41666666666667
S22-D8	NIRSCWAMPLITUDE	22	8	685	n/a	10.41666666666667
S23-D8	NIRSCWAMPLITUDE	23	8	685	n/a	10.41666666666667
S24-D8	NIRSCWAMPLITUDE	24	8	685	n/a	10.41666666666667
S110-D8	NIRSCWAMPLITUDE	110	8	685	n/a	10.41666666666667
S1-D9	NIRSCWAMPLITUDE	1	9	685	n/a	10.41666666666667
S2-D9	NIRSCWAMPLITUDE	2	9	685	n/a	10.41666666666667
S3-D9	NIRSCWAMPLITUDE	3	9	685	n/a	10.41666666666667
S5-D9	NIRSCWAMPLITUDE	5	9	685	n/a	10.41666666666667
S6-D9	NIRSCWAMPLITUDE	6	9	685	n/a	10.41666666666667
S7-D9	NIRSCWAMPLITUDE	7	9	685	n/a	10.41666666666667
S8-D9	NIRSCWAMPLITUDE	8	9	685	n/a	10.41666666666667
S9-D9	NIRSCWAMPLITUDE	9	9	685	n/a	10.41666666666667
S10-D9	NIRSCWAMPLITUDE	10	9	685	n/a	10.41666666666667
S11-D9	NIRSCWAMPLITUDE	11	9	685	n/a	10.41666666666667
S12-D9	NIRSCWAMPLITUDE	12	9	685	n/a	10.41666666666667
S13-D9	NIRSCWAMPLITUDE	13	9	685	n/a	10.41666666666667
S14-D9	NIRSCWAMPLITUDE	14	9	685	n/a	10.41666666666667
S15-D9	NIRSCWAMPLITUDE	15	9	685	n/a	10.41666666666667
S16-D9	NIRSCWAMPLITUDE	16	9	685	n/a	10.41666666666667
S17-D9	NIRSCWAMPLITUDE	17	9	685	n/a	10.41666666666667
S18-D9	NIRSCWAMPLITUDE	18	9	685	n/a	10.41666666666667
S19-D9	NIRSCWAMPLITUDE	19	9	685	n/a	10.41666666666667
S21-D9	NIRSCWAMPLITUDE	21	9	685	n/a	10.41666666666667
S22-D9	NIRSCWAMPLITUDE	22	9	685	n/a	10.41666666666667
S23-D9	NIRSCWAMPLITUDE	23	9	685	n/a	10.41666666666667
S25-D9	NIRSCWAMPLITUDE	25	9	685	n/a	10.41666666666667
S26-D9	NIRSCWAMPLITUDE	26	9	685	n/a	10.41666666666667
S1-D10	NIRSCWAMPLITUDE	1	10	685	n/a	10.41666666666667
S2-D10	NIRSCWAMPLITUDE	2	10	685	n/a	10.41666666666667
S3-D10	NIRSCWAMPLITUDE	3	10	685	n/a	10.41666666666667
S4-D10	NIRSCWAMPLITUDE	4	10	685	n/a	10.41666666666667
S5-D10	NIRSCWAMPLITUDE	5	10	685	n/a	10.41666666666667
S6-D10	NIRSCWAMPLITUDE	6	10	685	n/a	10.41666666666667
S7-D10	NIRSCWAMPLITUDE	7	10	685	n/a	10.41666666666667
S8-D10	NIRSCWAMPLITUDE	8	10	685	n/a	10.41666666666667
S9-D10	NIRSCWAMPLITUDE	9	10	685	n/a	10.41666666666667
S10-D10	NIRSCWAMPLITUDE	10	10	685	n/a	10.41666666666667
S11-D10	NIRSCWAMPLITUDE	11	10	685	n/a	10.41666666666667
S12-D10	NIRSCWAMPLITUDE	12	10	685	n/a	10.41666666666667
S13-D10	NIRSCWAMPLITUDE	13	10	685	n/a	10.41666666666667
S14-D10	NIRSCWAMPLITUDE	14	10	685	n/a	10.41666666666667
S15-D10	NIRSCWAMPLITUDE	15	10	685	n/a	10.41666666666667
S16-D10	NIRSCWAMPLITUDE	16	10	685	n/a	10.41666666666667
S17-D10	NIRSCWAMPLITUDE	17	10	685	n/a	10.41666666666667
S18-D10	NIRSCWAMPLITUDE	18	10	685	n/a	10.41666666666667
S19-D10	NIRSCWAMPLITUDE	19	10	685	n/a	10.41666666666667
S20-D10	NIRSCWAMPLITUDE	20	10	685	n/a	10.41666666666667
S21-D10	NIRSCWAMPLITUDE	21	10	685	n/a	10.41666666666667
S22-D10	NIRSCWAMPLITUDE	22	10	685	n/a	10.41666666666667
S23-D10	NIRSCWAMPLITUDE	23	10	685	n/a	10.41666666666667
S24-D10	NIRSCWAMPLITUDE	24	10	685	n/a	10.41666666666667
S25-D10	NIRSCWAMPLITUDE	25	10	685	n/a	10.41666666666667
S26-D10	NIRSCWAMPLITUDE	26	10	685	n/a	10.41666666666667
S27-D10	NIRSCWAMPLITUDE	27	10	685	n/a	10.41666666666667
S1-D11	NIRSCWAMPLITUDE	1	11	685	n/a	10.41666666666667
S2-D11	NIRSCWAMPLITUDE	2	11	685	n/a	10.41666666666667
S3-D11	NIRSCWAMPLITUDE	3	11	685	n/a	10.41666666666667
S4-D11	NIRSCWAMPLITUDE	4	11	685	n/a	10.41666666666667
