name	type	x	y	z
S1	source	-76.7263131786046	9.415424638313967	26.39868125445949
S2	source	-74.51823327162202	7.082945557046881	41.80303821195448
S3	source	-69.15634704335825	4.865976011076478	55.82883462649406
S4	source	-61.17333977118809	2.613252613481511	68.37906311026073
S5	source	-78.78936588428499	-5.985383100869849	24.64196116164814
S6	source	-77.00309002194429	-8.201629395323073	40.02151683047077
S7	source	-72.4894994389456	-10.49550861742634	54.96600011985727
S8	source	-65.65020845312543	-13.29195993466394	68.44545822865187
S9	source	-79.87599511756765	-21.57621721887781	22.74781697569378
S10	source	-78.50167337843007	-23.64932762064337	38.14787966681086
S11	source	-74.89235826075223	-26.00661842062926	53.62008835947427
S12	source	-68.18686150602372	-28.60030511278509	68.4177109706677
S13	source	-78.96222355338422	-36.70092846669249	20.79637762787429
S14	source	-77.87805400141669	-39.17195003890851	36.22316793933557
S15	source	-74.46203381419529	-41.36113668192704	51.6912954589224
S16	source	-69.18490011641522	-43.40798687733524	66.4391351412787
S17	source	-75.09235612967046	-51.15052665873881	18.52872857580185
S18	source	-75.06200734979227	-54.69579509462643	34.11432247179754
S19	source	-71.73712476142657	-56.62566994101095	49.60693120574177
S20	source	-65.37656125285584	-57.6375831800329	64.66815489996955
S21	source	-71.34981412234039	-65.8950042317704	15.79776836053021
S22	source	-69.50884995891593	-68.29054565943532	31.12024855378931
S23	source	-67.22580556112453	-71.14267099468684	46.59138577803677
S24	source	-61.10120620757088	-72.11347783114124	62.02328709149773
S25	source	-65.93111403099407	-78.92318672561527	12.36413249233597
S26	source	-63.40456295136075	-81.45298887875357	27.74344317209328
S27	source	-61.04376376197237	-85.15508046346068	42.96861342710925
S28	source	-54.86217514173721	-85.99448003023207	58.4208490457066
S29	source	-61.01308506378884	-86.99599263719867	-7.130002119272842
S30	source	-59.574830186978	-91.44914179519076	8.238281355327258
S31	source	-55.91186715174553	-93.57646346137486	23.76187224663672
S32	source	-52.43513283120908	-96.59705586376586	39.1198893679431
